"ID"	"Site"	"A0"	"rate.sec"	"intercept"	"plant.sp"	"caterpillar.sp"	"phytchemdiv"	"host.parasitism"	"dietbreadth"	"max.abs"	"rate.min"	"cov"
"59"	33278	"Costa Rica"	NA	0.000291667	NA	"Piper umbricola"	"Eois mexicaria"	0.88548	0	2	0.473	0.01750002	13
"60"	33279	"Costa Rica"	NA	0.000953333	NA	"Piper umbricola"	"Eois mexicaria"	0.88548	0	2	1.239	0.05719998	13
"61"	33280	"Costa Rica"	NA	0.00097	NA	"Piper umbricola"	"Eois mexicaria"	0.88548	0	2	1.254	0.0582	13
"62"	33281	"Costa Rica"	NA	0.000118333	NA	"Piper umbricola"	"Eois mexicaria"	0.88548	0	2	0.231	0.00709998	13
"63"	33282	"Costa Rica"	NA	0.001078333	NA	"Piper umbricola"	"Eois mexicaria"	0.88548	0	2	1.435	0.06469998	13
"64"	33283	"Costa Rica"	NA	0.00099	NA	"Piper umbricola"	"Eois mexicaria"	0.88548	0	2	1.297	0.0594	13
"65"	33284	"Costa Rica"	NA	0.00094	NA	"Piper umbricola"	"Eois mexicaria"	0.88548	0	2	1.161	0.0564	13
"66"	33285	"Costa Rica"	NA	0.000548333	NA	"Piper sancti-felicis"	"Eois russearia"	0.76328	0.04	4	0.919	0.03289998	12
"67"	33286	"Costa Rica"	NA	0.001036667	NA	"Piper sancti-felicis"	"Eois russearia"	0.76328	0.04	4	1.397	0.06220002	12
"68"	33288	"Costa Rica"	NA	0.00036	NA	"Piper sancti-felicis"	"Eois russearia"	0.76328	0.04	4	0.65	0.0216	12
"69"	33289	"Costa Rica"	NA	0.001016667	NA	"Piper sancti-felicis"	"Eois russearia"	0.76328	0.04	4	1.294	0.06100002	12
"70"	33290	"Costa Rica"	NA	0.000913333	NA	"Piper sancti-felicis"	"Eois russearia"	0.76328	0.04	4	1.01	0.05479998	12
